G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.2499942	0.5980448	0.2743907	0.5795996	0.0270353	0.6339133	0.4644099	0.0104060	0.6146559	0.0078738	0.3425861	0.0497809	0.0225958	0.0020076	0.1172267	0.3721062	0.4723046	0.0716419	0.0044197	0.0169110	0.2090553	0.0618818	0.1584960	0.1680886	0.6913837	0.4774296	0.4013612	0.1489698	0.4528202	0.1544331	0.0408331	0.2048579	0.1202648	0.7592920	0.7944250	0.6479886	0.1389269	0.0631206	0.6772208	0.0555139	0.5944659	0.7237095	0.6382113	0.6616381	0.6567755	0.5200039	0.5788958	0.4326678	0.2377987	0.6054260	0.7657177	0.4339852	0.3350258	0.4856811	0.4001925	0.2815885	0.2680686	0.0467377	0.1867893	0.0167072	0.2901003	0.6918657	0.4613976	0.6284169	0.2998105	0.4507678	0.5008316	0.4206954	0.0127918	0.1795286	0.0138710	0.0407562	0.0642935	0.4145835	0.7455671	0.0103752	0.1130857	0.1607559	0.0393758	0.4999139	0.1110510	0.7472073	0.1966692	0.6726014	0.1882217	0.1046992	0.0603066	0.0627249	0.6579840	0.6449508	0.4492031	0.6584931	0.4338362	0.3896673	0.6138149	0.2486492	0.6033504	0.6301394	0.6284056
0.1300785	0.0000000	0.5532828	0.2588802	0.7194891	0.0336555	0.8105225	0.3825635	0.0166778	0.4734121	0.0109843	0.3195379	0.0264997	0.0109442	0.0070176	0.1438092	0.3923489	0.4177558	0.0407158	0.0006961	0.0326831	0.1960613	0.1029366	0.1046083	0.1171549	0.7636322	0.4970034	0.3640944	0.1778425	0.4936133	0.1607074	0.0217427	0.1849190	0.0736031	0.6482516	0.7312110	0.7478237	0.1242108	0.0751916	0.7061843	0.0585975	0.6404054	0.7829912	0.5524018	0.6675121	0.8551643	0.6230932	0.5760035	0.4731158	0.1315969	0.6162274	0.6721404	0.3939668	0.3612230	0.6217271	0.4755048	0.2340340	0.2312817	0.0800342	0.2842976	0.0202831	0.2582403	0.6901266	0.5278443	0.4153258	0.5152015	0.3788263	0.4363522	0.4467762	0.0324738	0.1722422	0.0129937	0.0657738	0.0740723	0.4049182	0.7760709	0.0068338	0.1304216	0.1629167	0.0175618	0.4404315	0.1049103	0.6767994	0.1892052	0.6377595	0.2174651	0.1487333	0.0963169	0.0199129	0.6064973	0.7788156	0.4424105	0.6427225	0.4269475	0.4476551	0.7853559	0.3086602	0.7356631	0.5330553	0.7373516
0.1513045	0.3042009	0.0000000	0.3598472	0.6794106	0.0413243	0.7491639	0.4337355	0.0280261	0.4410648	0.0172446	0.3845828	0.0316166	0.0128784	0.0130973	0.1032538	0.2823939	0.7219464	0.0452164	0.0012859	0.0337734	0.1168635	0.2674674	0.2178599	0.1426575	0.6515651	0.4284839	0.3945334	0.1590760	0.5025753	0.1788585	0.0188006	0.1754979	0.1499689	0.6376872	0.7154380	0.7369630	0.1097186	0.1097973	0.6865835	0.0586374	0.5946858	0.6503823	0.4859019	0.6255365	0.6278123	0.5508226	0.5724172	0.3729937	0.1783164	0.5982884	0.7119661	0.4673810	0.3262430	0.6753998	0.3427491	0.2937795	0.2748279	0.1018609	0.2324551	0.0160405	0.2653597	0.6890707	0.5638646	0.4474922	0.4935778	0.4238673	0.4026639	0.4868424	0.0147864	0.1563120	0.0179459	0.0299955	0.0657231	0.4393882	0.7759930	0.0237268	0.1090186	0.1767918	0.0179583	0.3772586	0.1540332	0.7669612	0.1437957	0.6543188	0.1031015	0.1994500	0.1183833	0.0311619	0.7462769	0.7177189	0.4600434	0.7552668	0.4700016	0.5260950	0.8119509	0.2636541	0.7923635	0.5713825	0.7975600
0.1214683	0.2409571	0.5068402	0.0000000	0.7960476	0.0471927	0.6559257	0.5472581	0.0233610	0.5332300	0.0075904	0.5043293	0.0328085	0.0207108	0.0094177	0.0940535	0.3534024	0.5161818	0.0619551	0.0006431	0.0139469	0.1212416	0.1587777	0.1772109	0.1652848	0.7376654	0.4774097	0.2906683	0.2521077	0.4300844	0.2573774	0.0122818	0.2515948	0.1335628	0.7580879	0.6630504	0.6836044	0.1310673	0.0675109	0.6816801	0.0410558	0.7179418	0.7422230	0.6323072	0.6599201	0.7601054	0.7345749	0.6304338	0.4223903	0.1521378	0.5986617	0.7085227	0.4641195	0.2754169	0.5031218	0.2672543	0.2571695	0.2609493	0.0708805	0.2877598	0.0212771	0.2621143	0.6875934	0.4906648	0.5919904	0.3914035	0.4091894	0.5763234	0.7089022	0.0128520	0.2422126	0.0209556	0.0581348	0.0706181	0.3522996	0.8065301	0.0286302	0.1234762	0.1463030	0.0294728	0.4968199	0.1280836	0.5959890	0.1986626	0.4997544	0.1695008	0.1579584	0.1095120	0.0406875	0.6402407	0.7238353	0.5801998	0.7001130	0.4472381	0.4247168	0.7762411	0.3226171	0.6566208	0.7814679	0.7196709
0.1656084	0.0334155	0.0578309	0.1027585	0.0000000	0.7982999	0.0028105	0.2059856	0.0104972	0.2659039	0.2588202	0.8328845	0.6277078	0.5535136	0.6312531	0.3954596	0.6839225	0.7057367	0.3604083	0.2714688	0.0267882	0.0267836	0.1005317	0.1824890	0.1340635	0.6963690	0.4854652	0.3938837	0.2197367	0.5211311	0.1423779	0.0174721	0.2551231	0.1099988	0.7062588	0.7157841	0.7495399	0.0770644	0.0637609	0.5856365	0.0430879	0.6366519	0.6924234	0.4663803	0.6194994	0.6666270	0.7249474	0.6113537	0.4203670	0.1569255	0.6138925	0.8199886	0.4531826	0.2500742	0.4698408	0.3880250	0.3574861	0.2369464	0.1076018	0.2457252	0.0135225	0.2376966	0.7946513	0.3555085	0.5147779	0.3962672	0.3553641	0.4453246	0.5066929	0.0233803	0.2153889	0.0155435	0.0788806	0.0591357	0.4151784	0.6362392	0.0258315	0.0998181	0.1733995	0.0195246	0.4295962	0.1377062	0.7189468	0.1652660	0.6822858	0.2090564	0.2056067	0.0709101	0.0385951	0.6517620	0.7354264	0.4777766	0.8769963	0.4803674	0.4338137	0.7389835	0.2684611	0.5736566	0.6102780	0.6965937
0.1294703	0.2845716	0.6789777	0.5197451	0.6487332	0.0000000	0.6868459	0.4916656	0.0089569	0.5438890	0.0086394	0.4250441	0.0332607	0.0351508	0.0134439	0.1712699	0.4059043	0.5797870	0.0687514	0.0047562	0.0273819	0.1455538	0.0808502	0.2024003	0.1825770	0.8280145	0.5854622	0.2821480	0.1992133	0.5407909	0.1904472	0.0227807	0.1799121	0.1098225	0.8167329	0.6895573	0.6786300	0.1048571	0.0478741	0.7267940	0.0283983	0.5841823	0.6684225	0.6014971	0.6131341	0.6335182	0.5865811	0.6089204	0.4099412	0.1908114	0.5951323	0.6662602	0.4840798	0.2368406	0.5120088	0.3534344	0.2202000	0.2677954	0.0855971	0.2149140	0.0166364	0.2458664	0.6909755	0.4742380	0.7970347	0.2733486	0.3110788	0.3598888	0.4969779	0.0181087	0.1768178	0.0148594	0.0493835	0.0408943	0.3920709	0.8635883	0.0139234	0.1203870	0.1484228	0.0403963	0.3930292	0.0992563	0.6737685	0.1500591	0.6157906	0.2392408	0.1270460	0.0322467	0.0746504	0.6039061	0.5826915	0.5188108	0.6739640	0.5230610	0.4648789	0.7307011	0.2332048	0.7057106	0.6023312	0.7077215
0.1749356	0.2986699	0.6925464	0.2623763	0.7428025	0.0391423	0.0000000	0.4417013	0.0095601	0.5068500	0.0189401	0.4669053	0.0431750	0.0064530	0.0220105	0.1180537	0.3791935	0.4719201	0.1033396	0.0052345	0.0762467	0.2543008	0.1888306	0.2347188	0.1437727	0.6753932	0.5149654	0.3530428	0.2613661	0.5169246	0.1715440	0.0105579	0.2286799	0.1737101	0.6466572	0.6673982	0.6568779	0.1224494	0.0344106	0.7431695	0.0648889	0.6666996	0.5861862	0.5646352	0.6882144	0.6670612	0.5970389	0.5013736	0.3536191	0.1853387	0.6388198	0.6247591	0.4525883	0.2613450	0.5449355	0.3470020	0.2513112	0.3349194	0.0913428	0.2683131	0.0535585	0.3608001	0.5970551	0.5252813	0.5913389	0.3985493	0.4046519	0.5006549	0.5100003	0.0229495	0.1505954	0.0187468	0.0988698	0.0815323	0.4350917	0.6154417	0.0365942	0.1377657	0.2631269	0.0295066	0.4297897	0.1360272	0.6169196	0.2169651	0.6824224	0.2186640	0.1775978	0.1059769	0.0502449	0.7304953	0.6528730	0.4720977	0.5303328	0.4383663	0.4393645	0.7951751	0.3818377	0.6428862	0.5790873	0.5876208
0.1234871	0.2350834	0.5911639	0.4302695	0.8538382	0.0380228	0.7272801	0.0000000	0.0182088	0.6117366	0.0242407	0.3765042	0.0408889	0.0312225	0.0020878	0.1364541	0.4333144	0.5926571	0.0551907	0.0059303	0.0388807	0.2641198	0.2486584	0.1919726	0.1411842	0.6624793	0.4350149	0.3611719	0.2495660	0.5662536	0.3269347	0.0142113	0.2837329	0.1311943	0.7240653	0.7327979	0.6660211	0.1384788	0.0659710	0.5863232	0.0332425	0.7717881	0.6360561	0.5116861	0.8600741	0.6833635	0.6730831	0.6960876	0.5385652	0.2099541	0.6265883	0.6560044	0.4190671	0.3067847	0.4928825	0.3419983	0.2381423	0.2825187	0.0631975	0.3407757	0.0131602	0.2820314	0.6735097	0.4181356	0.6166400	0.4104172	0.3311428	0.4656737	0.4384860	0.0471259	0.1801057	0.0199000	0.0472287	0.0685438	0.4898548	0.9076150	0.0137708	0.1077684	0.2105185	0.0338575	0.4855445	0.1025347	0.6452276	0.1878875	0.5907778	0.2572158	0.1653179	0.0617538	0.0454445	0.7382633	0.7117007	0.4388459	0.7869480	0.4576649	0.4972096	0.6405736	0.2976899	0.5522505	0.6129183	0.7107667
0.1007601	0.2226339	0.5324161	0.2719959	0.7351907	0.0409447	0.7135378	0.4424444	0.0000000	0.4623070	0.0150798	0.4338685	0.0555756	0.0133313	0.0048317	0.0885697	0.3703355	0.4889394	0.0459847	0.0013700	0.0249134	0.1720160	0.1511554	0.1170830	0.1195031	0.6812199	0.6594795	0.4203556	0.1939687	0.6137008	0.3034258	0.0195015	0.2239858	0.1245031	0.6543118	0.6214928	0.5438739	0.0911315	0.0688673	0.6150501	0.0345456	0.7866209	0.7939170	0.5893844	0.6046442	0.7353135	0.4962368	0.7106176	0.4751752	0.2036720	0.7482149	0.6939426	0.4684746	0.2528107	0.5056904	0.3405768	0.2492240	0.1994639	0.0920904	0.3183428	0.0214723	0.3006181	0.6084778	0.6113193	0.5105586	0.4643094	0.3456115	0.4979020	0.4846207	0.0190467	0.1650789	0.0407475	0.0393591	0.1101711	0.4494443	0.6814746	0.0286435	0.1002809	0.1774113	0.0318230	0.4119203	0.1065400	0.7345480	0.2071476	0.5324971	0.2055357	0.1963970	0.0875611	0.0382099	0.7496838	0.6232161	0.4252731	0.6418929	0.4372952	0.4946355	0.6676250	0.2450769	0.7136975	0.5635959	0.7221928
0.3566110	0.3688712	0.6493387	0.5670962	0.6241731	0.0523313	0.6637172	0.6972098	0.0070217	0.0000000	0.0193129	0.3164027	0.0349036	0.0265208	0.0007337	0.1193128	0.3833297	0.5485889	0.0771673	0.0021966	0.0542634	0.1860835	0.6115332	0.6361920	0.4828962	0.6053438	0.4419918	0.3574810	0.5905529	0.4468463	0.0986936	0.0202483	0.2258695	0.1351522	0.7104948	0.5935766	0.0008680	0.1362260	0.0660602	0.6439541	0.0562735	0.7265871	0.7670857	0.3427861	0.7095562	0.7012109	0.6976489	0.3760729	0.4713418	0.1217656	0.7255028	0.6255909	0.5700013	0.2606975	0.6309823	0.4909939	0.1658946	0.2806028	0.1968735	0.4869565	0.1859642	0.5311940	0.6545299	0.5041795	0.5037364	0.3804106	0.2822894	0.5536905	0.0643947	0.7379320	0.6978439	0.8166358	0.5935987	0.6538495	0.4868620	0.0385135	0.6188723	0.0671613	0.2069463	0.0262065	0.3390332	0.0963807	0.6220792	0.1422684	0.5736152	0.1183629	0.1503818	0.0768801	0.6733505	0.6107269	0.6458947	0.4961918	0.6972855	0.4491116	0.5319755	0.8725014	0.3308387	0.7406022	0.6368821	0.6462085
